0,1,2,3,4,5,6,7
95,appear,[əˈpɪə(r)],"vi.出现，显现；看来
（好像），似乎","It appears to me that he will win the
prize.",我觉得他可能会得奖。,,
96,appearance,[əˈpɪərəns],n.出现，露面；外貌,His sudden appearance surprised me.,他突然出现，使我感到惊讶。,,
97,apply,[əˈplaɪ],v.申请；适用；应用,"Peter applied for British citizenship last
year.",彼得去年申请了英国国籍。,,
98,appointment,[əˈpɔɪntmənt],n.约定，约会；任命,"Tom cancel led the appointment with
his doctor because of the date with his
girlfriend.","汤姆因为与女朋友的约会而取消了与医
生的见面。",,
99,appreciate,[əˈpri:ʃieɪt],vt.感谢；欣赏,"The foreigner enjoys Beijing Opera very
much, although he does not appreciate
it.","这个外国人很爱听京剧，虽然他听不出
个子丑寅卯。",,
100,approach,[əˈprəʊtʃ],"v.靠近，接近，临近 n.
接近；方法，途径","I like her approach to solving the
problem.",我喜欢她解决这个问题的方法。,,
101,approve,[əˈpru:v],v.赞成，同意；批准,"Mr.Bally approved of my attending the
conference.",贝利先生同意我参加会议。,,
102,area,[ˈeəriə],"n.地区，区域；面积；
领域",What's the area of Taiwan?,台湾的面积有多大？,,
103,argue,[ˈɑ:gju:],v.争吵；争辩，争论,"Gun control is a subject about which
Americans have argued for a long time.","枪支控制是很长时间以来美国人一直争
论的话题。",,
104,arise,[əˈraɪz],"vi.出现；由……引起；
起来；升起",Accidents often arise from carelessness.,事故往往起因于粗心。,,
105,arm,[ɑ:m],"n.臂，臂状物；[pl.]武器
v.武装，装备","Arms badly hurt，he had to lay down his
arms.",双臂受了重伤，他不得不放下武器。,,
106,around,[əˈraʊnd],"prep.在……周围；大约
ad.在附近，在周围；到
处，四周","He looked around, but saw nothing.",他环视四周，但什么也没看见。,,
107,arrange,[əˈreɪndʒ],v.安排；布置,The party was arranged quickly.,聚会很快就安排好了。,,
108,arrest,[əˈrest],vt./n.逮捕，拘留,The thief was arrested by the police.,那个贼被警察逮捕了。,,
109,arrive,[əˈraɪv],vi.到达，抵达,We arrived home late in the evening.,我们晚上很晚才回到家。,,
110,as,[əz],"conj.当……时；如同；
因为 prep.作为 ad.一样
地",Do in Rome as the Romans do.,[谚]入乡随俗。,,
111,ask,[ɑ:sk],"v.问；请求，要求；邀
请","Jane asked her father why he hadn't
asked about her college life.","简问她父亲为什么不询问她的大学生活
情况。",,
112,asleep,[əˈsli:p],a.睡着的，熟睡的,He is fast asleep.,他睡得很熟。,,
113,aspect,[ˈæspekt],n.面貌，外表；方面,"Tangshan takes on an entirely new
aspect.",唐山市面貌一新。,,
114,assess,[ə'ses],vt.估价；评价,"The value of this property was assessed
at one million dollars.",这份财产的价值估定为 100 万美元。,,
115,assistant,[əˈsɪstənt],n.助手，助理,"He paid the shop assistant five dollars for
the gift.",他支付给售货员 5 美元来买这件礼物。,,
116,association,[əˌsəʊʃiˈeɪʃn],"n.协会，团体；联会，
交往；联想，联系","Have you joined the football
association?",你加入足球协会了吗？,,
117,astonish,[əˈstɒnɪʃ],vt.使惊讶,The news astonished everyone.,这个消息使大家十分惊讶。,,
118,atmosphere,[ˈætməsfɪə(r)],"n.[the~]大气；空气；
[sing.]气氛","The top leaders of the two countries are
holding talks in a friendly atmosphere.","两国高层领导人正在友好的气氛中进行
会谈。",,
119,attach,[əˈtætʃ],"vt.(to)系/贴/附上；重
视，认为……很重要","Parents attach much importance to
education.",父母认为教育很重要。,,
120,attack,[əˈtæk],"vt./n.攻击，袭击；（疾
病）侵袭","A woman was attacked and robbed by
a gang of youths.","一位妇女遭到了一伙年轻人袭击和抢
劫。",,
121,attempt,[əˈtempt],vt./n.试图；尝试,"The prisoners attempted an escape, but
failed.",囚犯企图逃跑，但失败了。,,
122,attend,[əˈtend],"v.出席，参加；（to）
专心，注意；照顾","I often attend meetings and sometimes I
take part in the discussion.","我经常出席会议，有时参加（大会的）
讨论。",,
123,attention,[əˈtenʃn],n.注意（力）；关心,Her smile caught my attention.,她的微笑引起了我的注意。,,
124,attitude,[ˈætɪtju:d],"n.（to，towards）态
度，看法",He has a positive attitude to work.,他工作态度积极。,,
125,attract,[əˈtrækt],vt.吸引，引起（兴趣）,"Thousands of foreigners were attracted
to the Shanghai World Expo the day it
opened.","开放当天，成千上万的外国人被吸引到
上海世博会中来。",,
126,audience,[ˈɔ:diəns],n.听众，观众,"If you make a mistake, keep smiling so
the audience will not notice.","如果出错，你要保持微笑，这样观众就
不会注意到了。",,
127,author,[ˈɔ:θə(r)],n.作者,"Can you tell me who is the author of the
novel?",你能告诉我这本小说的作者是谁吗？,,
128,available,[əˈveɪləbl],"a.（物）可用的，可得
到的；（人）可见到
的，有空的","These dresses are not available in your
size, I'm afraid.",恐怕这些衣服没有你的尺寸。,,
129,average,[ˈævərɪdʒ],"a.平均的；普通的 n.平
均数；平均水平","Average earnings are around twenty
thousand pounds per year.",年均收入约为两万英镑。,,
130,awake,[əˈweɪk],"vi.醒来 vt.唤醒 a.醒着
的",It was midday when she awoke.,她醒来时已是正午了。,,
131,award,[əˈwɔ:d],"n.奖；奖品；奖金 vt.授
予","He was awarded the prize for being the
fastest runner.",他因跑得最快而得奖。,,
132,aware,[əˈweə(r)],"a.[表语]（of）意识到
的，知道的","Most smokers are aware of the danger
of smoking.",大多数吸烟者知道吸烟的危害。,,
133,away,[əˈweɪ],ad.离开；在/到远处,The beach is a mile away.,海滩在一英里外。,,
134,awful,[ˈɔ:fl],"a.可怕的；糟糕的；极
度的",It was an awful sight.,那是个可怕的情景。,,
135,back,[bæk],"n.背部；后面；背面 ad.
回（原处）；向后 a.后
面的",He lay on his back.,他仰躺着。,,
136,background,ˈbækgraʊnd],n.背景,"Do you like the background music of this
film?",你喜欢这部电影的背景音乐吗？,,
137,bad,bæd],"a.坏的；有害的，不利
的；严重的",Smoking is bad for your health.,吸烟有害健康。,,
138,badly,[ˈbædli],"ad.差，拙劣地；严重
地；非常","The company has been very badly
managed.",这家公司的管理非常差。,,
139,baggage,[ˈbægɪdʒ],"n.（AmE)行李
[=(BrE)luggage]",How much baggage do you have?,你有多少行李?,,
140,balance,[ˈbæləns],"n.平衡；天平；差额，
余数 vt.使平衡",I lost my balance and fell on my face.,我失去平衡，脸着地摔倒了。,,
141,balloon,[bəˈlu:n],n.气球,The balloon floated off in the west.,气球向西方飘去。,,
142,ban,[bæn],vt.取缔，禁止 n.禁令,"He was banned from attending the
meeting.",他被禁止参加会议。,,
143,bank,[bæŋk],n.岸，堤；银行,"Our school is on the right bank of the
river.",我们学校位于河的右岸。,,
144,bar,[bɑ:(r)],n.酒吧；柜台；条，棒,He sat at the bar.,他坐在吧台旁边。,,
145,bare,[beə(r)],"a.赤裸的，光秃的；空
的；仅有的，稀少的 vt.
露出，暴露",I saw him running with bare feet.,我看见他在赤脚跑步。,,
146,bargain,[ˈbɑ:gən],"vi.讨价还价 n.廉价货；
协议，交易","I bought a dress for only ten dollars in a
sale; it was a real bargain.","我在一次打折销售时花 10 美元买了一
件衣服，真是物超所值。",,
147,base,[beɪs],"n.根基；基地 vt.（on，
upon）把……基于……，
以……为基础","Based on the idea above, the navigating
compass was invented.",基于以上想法，人们发明了航海罗盘。,,
148,bathe,[beɪð],v.洗澡,Have you bathed the baby yet?,你给婴儿洗澡了吗？,,
149,battle,[ˈbætl],n.战役，战斗,"Weeks went by, and the battle went on.",几个星期过去了，战斗仍在进行。,,
150,be,[bi],v.是；成为,"Don't be late for class, please.",请不要上课迟到。,,
151,bear,[beə(r)],"n.熊(bore,borne) v.忍
受，容忍；负担，承担","She couldn't bear his visiting her
together with a big white bear.","她不能忍受他和一头大白熊一起来拜访
他。",,
152,beard,[bɪəd],n.（下巴上的）胡须,"The police are searching for a tall dark
man with a beard.","警察正在搜寻一名肤色黝黑、留胡子的
高个男子。",,
153,beat,[bi:t],"v.（心脏等）跳动；敲
打；打败 n.敲打
（声）；节拍",The boy beat the drum for over an hour.,这个男孩打鼓打了一个多小时。,,
154,beauty,[ˈbju:ti],n.美；美人,Beauty is in the eye of the beholder.,[谚]情人眼里出西施。,,
155,because,[bɪˈkɒz],conj.因为,He is absent today because of his illness.,他今天缺席，因为他病了。,,
156,become,[bɪˈkʌm],vi.变得；成为,The actor became famous overnight.,那位演员一下子成了名。,,
157,before,[bɪˈfɔ:(r)],"prep./conj.在……之前；
在……前面 ad.以前","You can't borrow books from the school
library before you get your student card.","在拿到学生证之前，你不能从图书馆借
书。",,
158,beg,[beg],v.请求；乞求，乞讨,"The man begged money from passers-
by.",那男子向过路人要钱。,,
159,begin,[bɪˈgɪn],v.开始,The meeting begins at 10:30 am.,会议上午十点半开始。,,
160,behave,[bɪˈheɪv],v.表现，举止；守规矩,"Children should be taught how to
behave towards adults.",孩子应该被教会如何对待成人。,,
161,believe,[bɪˈli:v],v.相信；认为,"I don't believe that everyone believes in
God.",我相信，并非每个人都信仰上帝。,,
162,belong,[bɪˈlɒŋ],vi.属于,Lions and tigers belong to cat family.,狮子和老虎属于猫科动物。,,
163,below,[bɪˈləʊ],prep.在……以下,He is below the average at school.,他的学习成绩在中等以下。,,
164,bend,[bend],"v.（使）弯曲；（使）
屈服","Bend your legs when you pick up
something.",捡东西时要屈腿。,,
165,benefit,[ˈbenɪfɪt],"n.利益，好处 vt.有益
于，使受益 vi.得益","The new highway will benefit the
villagers.",新公路会对村民有益。,,
166,beside,[bɪˈsaɪd],prep.在……旁边；靠近,There's a lamp beside the bed.,床旁边有一盏灯。,,
167,besides,[bɪˈsaɪdz],"prep.除……之外（还
有） ad.还有，此外","We all went there except him last time.
This time we'll all go besides him.","上次除他没去外，我们都去了。这次除
他去以外，我们也都将去那里。",,
168,best,[best],"a./ad.最好的/地
n.[the~]最好的人/物","Good, better, best; never let it rest, till
good is better, and better best.","好，更好，最好；永远不要停歇，直到
好成为更好，更好成为最好。",,
169,better,[ˈbetə(r)],"a./ad.更好的/地
n.[sing.]较好的事物；较
优者 vt.改善；胜过",This idea is better than mine.,这个主意比我的（主意）好。,,
170,between,[bɪˈtwi:n],"prep./ad.在（两者）之
间",The village lies between two mountains.,这个村庄位于两座山之间。,,
171,beyond,[bɪˈjɒnd],"prep.超过，超出；（表
示位置）在……的那一边","Everyone was touched beyond words
after they heard her moving story.","所有人在听完她的感人事迹后感动之情
无法用语言表达。",,
172,bid,[bɪd],"（bid，bid）v./n.出
价，投标","I bid two thousand pounds for the
painting.",我出 2000 英镑买这幅画。,,
173,biology,[baɪˈɒlədʒi],n.生物学,He is interested in biology.,他对生物学感兴趣。,,
174,birthplace,[ˈbɜ:θpleɪs],n.出生地；发源地,"Vienna is the birthplace of classical
music and Waltz.","维也纳是古典音乐和华尔兹舞曲的发源
地。",,
175,bite,[baɪt],v.咬；叮,The dog bit the boy in the leg.,那只狗咬了男孩的腿。,,
176,bitter,[ˈbɪtə(r)],"a.苦的；辛酸的；痛苦
的",The medicine tastes bitter.,此药味苦。,,
177,blame,[bleɪm],vt./n.责备，责怪,"Don't always blame your own failure on
others sometimes you yourself are to
blame.","不要总把失败归咎于他人，有时该怪你
自己。",,
178,blank,[blæŋk],"n.空白处 a.空白的，空
着的；茫然的，无表情
的","At those boring meetings, people
usually sit still, looking blank, or scrawl on
blank paper.","在那些无聊的会议上，人们通常一动不
动地坐着，面无表情，或者在白纸上乱
涂乱画。",,
179,blanket,[ˈblæŋkɪt],n.毯子，毛毯,He covered himself with a blanket.,他给自己盖上一条毯子。,,
180,bleed,[bli:d],vi.流血，出血,You're bleeding at the nose.,你在流鼻血。,,
181,blind,[blaɪnd],a.盲的；盲目的,He's blind in the left eye.,他左眼失明。,,
182,block,[blɒk],"n.块；街区；阻塞，障
碍物 vt.阻塞；阻拦",The heavy snowfall blocked the roads.,大学阻塞了道路。,,
183,blow,[bləʊ],"(blew,blown) v.吹；
刮；吹动；吹奏；炸开","Several trees were blown down in the
night.",夜里有好几棵树被刮倒了。,,
184,boil,[bɔɪl],v.沸腾；煮沸；发怒,Water boils at 100℃,水在 100 摄氏度时沸腾。,,
185,bomb,[bɒm],n.炸弹 vt.轰炸,"An atomic bomb was dropped on
Hiroshima in 1945.",1945 年一颗原子弹投在广岛。,,
186,book,[bʊk],n.书；本子 v.预定,"After booking a ticket through to New
York, she went on reading her book.","预定了一张直达纽约的票后，她继续读
书。",,
187,boring,[ˈbɔ:rɪŋ],a.令人厌烦的，无聊的,The film is so boring. I just can't bear it.,这部电影太无聊了，我简直无法忍受。,,
188,borrow,[ˈbɒrəʊ],"v.(from)（向别人）借，
借用","Members can borrow up to ten books
from the library at one time.",会员在图书馆每次最多可借 10 本书。,,
189,both,[bəʊθ],det./pron.两个，两个都,Both of them will come.,（他们）两个都会来。,,
190,bother,[ˈbɒðə(r)],"v.打扰，烦扰；操心，
烦恼 n.烦恼","The problem has been bothering me for
weeks.",那个问题已经困扰了我几个星期。,,
191,bottom,[ˈbɒtəm],n.底部；末端,"Sign your name at the bottom of the
page, please.",请在这一页的下方签上您的名字。,,
192,bowl,[bəʊl],n.碗；一碗（之量）,A bowl of rice is on the table.,桌上摆着一碗米饭。,,
193,brain,[breɪn],n.脑；智慧,"Use your brain and then you will find out
the answer.",动动脑筋你就会找到答案。,,
194,branch,[brɑ:ntʃ],"n.枝条；支流；分科；
支部",The bank has ten branches in the city.,这家银行在市内有 10 家分行。,,
195,brave,[breɪv],a.勇敢的,He was a wise king and a brave soldier.,"他是一位明智的君主，又是一位勇敢勇
敢的战士。",,
196,break,[breɪk],"(broke,broken) v.打破，
折断，损坏；中断 n.
（课间、工间）休息时
间",My car broke down on my way home.,我的车在回家的路上抛锚了。,,
197,breath,[breθ],n.呼吸；气息,"The girl held her breath at the sight of
the snake.","当这个女孩看到蛇的时候，她屏住了呼
吸。",,
198,breathe,[bri:ð],v.呼吸,"He breathed deeply before speaking
again.",他深吸一口气，然后继续说下去。,,
199,brick,[brɪk],n.砖，砖块,The house is built of brick.,那栋房子是用砖建造的。,,
200,bridge,[brɪdʒ],n.桥,The bridge was built across the river.,一座桥横架河上。,,
201,brief,[bri:f],a.简洁的；短暂的,"We stopped by Alice's home for a brief
visit.",我们在艾丽斯家小坐了片刻。,,
202,bring,[brɪŋ],"(brought,brought) vt.带
来；提供；引起","She was brought up by her
grandmother and educated at the
local school.","她是由祖母抚养大的，在当地一所学校
上的学。",,
203,broad,[brɔ:d],a.宽的，广阔的,"The man with broad forehead stared at
the boy with wide eyes.",那个宽额的人睁大眼睛盯着那个男孩。,,
204,broadcast,[ˈbrɔ:dkɑ:st],"(broadcast,broadcast) v.
广播；散布 n.广播节目","Would you please keep silent？The
weather report is being broadcast and I
want to listen.","请保持安静好吗？正在播天气预报，我
想听听。",,
